,Compound Score,Negative Score,Neutral Score,News Organization,Positive Score,Tweet,Tweet Number
12,0.0,0.0,1.0,@BBC,0.0,"RT @BBCEarth: ‘We’re only now beginning to realise what an impact noise is having on the inhabitants of the ocean’ – David Attenborough
#Bl…",12
13,-0.5267,0.152,0.848,@BBC,0.0,"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…",13
14,0.0,0.0,1.0,@BBC,0.0,"RT @BBCEarth: The countdown is on! The final episode of #BluePlanet2: Our Blue Planet starts 8pm GMT on @BBCOne, BBC Earth Nordics &amp; @BBCEa…",14
15,0.5106,0.0,0.837,@BBC,0.163,"RT @BBCSpringwatch: Seven British conservation heroes you should know about - this lot deserve endless 👏🏽👏🏽
#BluePlanet2 #OurBluePlanet 
ht…",15
16,0.7096,0.0,0.604,@BBC,0.396,"'Good luck, little leatherback' - Sir David Attenborough 🐢

#BluePlanet2 | 8PM | @BBCOne https://t.co/vMliWBZFBE",16
17,-0.1803,0.213,0.602,@BBC,0.185,"'There's a huge bomb up there. I'm 76% sure. It's not like the penguin hostage situation.' 🐧😂
#ScotSquad via… https://t.co/x8I92iMImk",17
18,0.6249,0.0,0.797,@BBC,0.203,Miles of cable and thousands of twinkling bulbs have been used to create the longest festive tunnel of light in Eur… https://t.co/C22wpljo2u,18
19,0.5574,0.0,0.816,@BBC,0.184,"Tonight, David Attenborough investigates the remarkable story of Jumbo the elephant. Attenborough and the Giant Ele… https://t.co/4NK1B5ZNwr",19
20,0.5719,0.0,0.73,@BBC,0.27,"98-year-old Mary wins Christmas, and our hearts. 🎁❤️️
Via @BBCLookNorth. https://t.co/4gOl16THuM",20
21,-0.2263,0.137,0.863,@BBC,0.0,RT @BBCTwo: Who wants a Sneaky Peak at the next episode of #PeakyBlinders? 😱 https://t.co/tzCB83ceSS,21
22,0.8765,0.116,0.555,@BBC,0.329,"RT @bbcstories: ""I think people my age think that death is something to be scared of but I think it's like being free and at peace"" - Meet…",22
23,0.0,0.0,1.0,@BBC,0.0,📻 How to deal with mental health issues in the family. https://t.co/48BOLabkXK https://t.co/7Eh3EjYywg,23
24,0.25,0.0,0.9,@BBC,0.1,This 12-year-old has created a cheap way to test lead levels in water using a mobile phone app. 🚰📱Via @BBCClick. https://t.co/TWqttOHJX3,24
25,0.5279,0.0,0.86,@BBC,0.14,📞👽 We've been listening for signs of life from other worlds for decades with little success. But what should we do… https://t.co/e3IETfS8cs,25
26,0.4588,0.0,0.864,@BBC,0.136,Thousands of internet users have come together to buy this stunning castle... although it does need a little TLC. 🏰… https://t.co/qhkNd4HyM5,26
27,0.0,0.0,1.0,@BBC,0.0,"That was unexpected. 😂

Michael McIntyre's Big Show via @BBCOne. https://t.co/2QUZXppIbQ",27
28,0.3595,0.0,0.878,@BBC,0.122,#SkiSunday is back! ⛷🎿 Join the team in Val D'Isere for the men's slalom. 5:15pm on @BBCTwo. https://t.co/mPdHEuxHOX https://t.co/w3pqO1lCn6,28
29,0.0,0.0,1.0,@BBC,0.0,"💰 @DanTDM has been named the highest-earning YouTuber of 2017 - making £12.3m this year, according to @Forbes magaz… https://t.co/yVEcwct3Es",29
30,0.4767,0.083,0.725,@BBC,0.192,"Rebel Wilson reenacts her Pitch Perfect audition and it’s slap-tastic.

The Graham Norton Show | @BBCOne https://t.co/TYszXcf9ZH",30
31,0.0,0.0,1.0,@BBC,0.0,The BBC has made the 1930s issues of the complete Radio Times magazines available online for the first time. 📻 Chec… https://t.co/aeK8TTggDW,31
32,0.5574,0.0,0.813,@BBC,0.187,"From Dark, to the return of The Crown &amp; a #DoctorWho Christmas special, here are the TV shows worth watching in Dec… https://t.co/4qq2MlpONj",32
33,0.0,0.0,1.0,@BBC,0.0,"RT @bbcthree: In 2011 BBC Three made a documentary about a boy who defied his bullies. 

Now #EverybodysTalkingAboutJamie again. https://t.…",33
34,-0.4063,0.189,0.811,@BBC,0.0,"'There's ignorance about employment law &amp; people don't want to hear complaints.'
Classical music has a sexual haras… https://t.co/PpdlbV0Gck",34
35,0.0,0.0,1.0,@BBC,0.0,"'Their birthdays are never easy.' 
Hannah is one of thousands of mums living with PTSD from experiencing traumatic… https://t.co/lPMW5VXHfa",35
36,0.6369,0.0,0.769,@BBC,0.231,"How do you make puppets fall in love? ❤️️🎎
Puppeteers reveal their techniques. https://t.co/GPNqLrFZit https://t.co/HfB09Yw8ek",36
37,0.0,0.0,1.0,@BBC,0.0,"RT @CBeebiesHQ: He's the disco dancing, geography guide with the moves! 😎

@BBCStrictly doesn't know what's hit it! 😆

#GoJetters🕺

#Strict…",37
38,0.0,0.0,1.0,@BBC,0.0,"RT @BBCBreakfast: A clairvoyant cat? 🐈 Or a turtle in the know?🐢
Animals in Russia are predicting the outcome of @FIFAWorldCup 2018 https:/…",38
39,0.4939,0.0,0.868,@BBC,0.132,RT @BBCOne: David Attenborough uncovers the story of Jumbo – a celebrity animal superstar who is said to have inspired the movie Dumbo. Ton…,39
40,0.0,0.0,1.0,@BBC,0.0,Watch @ScottishBallet's incredible interpretations of Stravinsky. https://t.co/NGZuhnKutW https://t.co/vUOkoaJ7mc,40
41,-0.8271,0.312,0.688,@BBC,0.0,✊ @Time magazine has named 'the Silence Breakers' - women who spoke out against sexual abuse &amp; harassment - as its… https://t.co/roSq8US4Ev,41
42,0.6588,0.0,0.747,@BBC,0.253,RT @BBCWthrWatchers: Some great pics of #UKsnow sent in by the early risers! https://t.co/b9Of6bvvIz,42
43,0.7597,0.0,0.763,@BBC,0.237,"RT @BBCR1: 🎄 BIG FESTIVE NEWS 🎄

We've invited some of your favourite stars to take over Radio 1 on Christmas Day!

Get ready for Superstar…",43
44,-0.4215,0.163,0.773,@BBC,0.064,"RT @BBCEarth: These orca just want a meal, but they could be risking their lives. 💙#BluePlanet2 https://t.co/JeLlETfohs",44
45,0.7579,0.0,0.735,@BBC,0.265,"'Whilst I appreciate the lovely people slowing down, if you see somebody with a guide dog, just drive on. Ziggy's g… https://t.co/CeH3p8geLq",45
46,0.0,0.0,1.0,@BBC,0.0,"‘Why won’t he let me leave?!'
The #BluePlanet2 team had a rather unexpected visitor while filming in the Galapagos.… https://t.co/vvBS7WorXO",46
47,0.4588,0.0,0.857,@BBC,0.143,"The Greek concept of philoxenia, which translates as ‘love of strangers’, is a warmth that makes foreigners feel im… https://t.co/O3BzC7lUp3",47
48,-0.3612,0.102,0.898,@BBC,0.0,"A study of nearly 12,000 children in the UK found 25% were overweight or obese at age seven, rising to 35% at 11.… https://t.co/41qA60xnUd",48
49,0.5743,0.0,0.821,@BBC,0.179,"GET EXCITED!! 🎤❤️️🎶
@Camila_Cabello has set the release date of her debut album Camila for 12 January.… https://t.co/gRtJVD7FEh",49
50,-0.3595,0.135,0.865,@BBC,0.0,"Have we got five eight-year-olds robbing houses? No! We've got two bams with triplets. 😂
#ScotSquad via… https://t.co/HUsw0CjaoY",50
51,0.7783,0.0,0.756,@BBC,0.244,"The history of condoms stretches back around 3,000 years – but they still offer the best protection against STIs.… https://t.co/shw3Jn5og1",51
52,0.0,0.0,1.0,@BBC,0.0,"Sexually frivolous and morally ambiguous. 
Meet pro wrestling’s pansexual phenomenon...🏳️‍🌈🤼‍♀️
Via @BBC5Live. https://t.co/2Asruxhnv8",52
53,0.8911,0.096,0.468,@BBC,0.436,"RT @BBCWthrWatchers: Ok, so #snow can be a pain ...but wow 😍 
We're all feeling just a little more festive after your great efforts today!…",53
54,0.0,0.0,1.0,@BBC,0.0,"RT @bbcthree: YOU'VE BEEN LIVING A LIE.
https://t.co/YUCx48Mv0o",54
55,0.3182,0.092,0.763,@BBC,0.145,"RT @bbcstories: Do our young men lack positive role models? Davis thought so, so he founded The Manhood Academy. #EverydayHeroes https://t.…",55
56,0.4939,0.0,0.856,@BBC,0.144,"RT @BBCEarth: In Cape Verde, @ProjetoBioSal is on a mission to save baby turtles from human impact. 🐢
#OurBluePlanet w/ @AluciaProd https:/…",56
57,0.8655,0.0,0.64,@BBC,0.36,"RT @BBCSpringwatch: Brrr, a chilly one tonight!
Luckily we've some gorgeous grey seals in our advent calendar to warm to cockles of your he…",57
58,0.3818,0.0,0.885,@BBC,0.115,"RT @bbcmusic: ✨@RagNBoneManUK brought all the feels to #SLFN with his stunning performance of 'As You Are' 
Watch in full 👉https://t.co/JmZ…",58
59,0.4215,0.0,0.851,@BBC,0.149,30 years of Fairytale of New York: 10 true tales behind the @PoguesOfficial's Christmas favourite. 🎁🎄… https://t.co/LClO0krtv0,59
60,0.3612,0.0,0.857,@BBC,0.143,"Ever wondered what London looked like 2000 years ago? 🇬🇧
#DiggingForBritain, now on @BBCiPlayer 👉… https://t.co/fd74UnWzF4",60
61,0.0,0.0,1.0,@BBC,0.0,"Tonight, @McInTweet is joined by @JasonManford and @TheVampsband. 🌟🎶😂 Michael McIntyre's Big Show. 8:20pm on… https://t.co/NW4Y5gYger",61
62,0.0,0.0,1.0,@BBC,0.0,"'I know it's not real because I'm surrounded by people eating crisps.' 😂🎭
#LiveAtTheApollo via @BBCTwo. https://t.co/1zwUd8oCvi",62
63,0.0,0.0,1.0,@BBC,0.0,"Alice is a 26-year-old mum. She's married, she has schizophrenia &amp; she is fed up of being portrayed as 'dangerous'… https://t.co/hy2APiuz5L",63
64,0.0,0.0,1.0,@BBC,0.0,Astronomers have discovered the most distant 'supermassive' black hole known to science. ☄🔭 https://t.co/OYWmKfE4t4 https://t.co/10PPSeYkT2,64
65,0.0,0.0,1.0,@BBC,0.0,Claire Foy talks about what will be her last outing as Britain’s longest serving monarch - and hints at choppy wate… https://t.co/z6WuYfwM3d,65
66,0.9517,0.0,0.393,@BBC,0.607,"I'm celebrating natural beauty - 'Instagram isn't real life.' @IAmSonnyTurner
These five body positive champions ar… https://t.co/uUr8AHsfgq",66
67,-0.25,0.125,0.875,@BBC,0.0,"Could you live with your partner alone in a remote lighthouse for 6 months?
Via @BBCWorldService. https://t.co/7gNRygiGKr",67
68,0.6369,0.0,0.704,@BBC,0.296,"🎵 Jack Black’s Jumanji theme tune is the best. 😂
Via @BBCOne. https://t.co/bqpYxQ8cot",68
69,-0.4019,0.124,0.876,@BBC,0.0,Dyslexie is a font that aims to overcome some of the problems that people with dyslexia can have when reading.… https://t.co/d3GZEMdZgc,69
70,0.7845,0.0,0.699,@BBC,0.301,"🔬🌡 Heard of Terrific Scientific, the BBC’s science campaign for primary pupils? 

If you know a brilliant teacher,… https://t.co/DtpAloo5Fe",70
71,-0.6369,0.215,0.785,@BBC,0.0,Many coastal communities are already battling the effects of sea level rise - and it's made worse by the fact that… https://t.co/WRpTIDB2e9,71
72,0.0,0.0,1.0,@BBC,0.0,"Danielle is breaking deaf world records left right &amp; centre. 🏊❤️️
Via @BBCTheSocial. https://t.co/XRlJU7UdU7",72
73,0.3818,0.1,0.682,@BBC,0.218,Do you feel pressure when giving Christmas gifts? @DrRadhaModgil discusses the psychology of giving &amp; receiving gif… https://t.co/DtkRGlOvdW,73
74,-0.4404,0.195,0.805,@BBC,0.0,RT @bbcthree: Lynsey is saving condemned dogs and finding them forever homes. https://t.co/aF7j3gaZil,74
75,-0.6486,0.185,0.815,@BBC,0.0,"RT @bbcmusic: Nearly seven months later, we look back on the #OneLoveManchester concert staged by @ArianaGrande after the devastating attac…",75
76,0.34,0.0,0.87,@BBC,0.13,"RT @BBCr4today: If you do one thing today...

Listen to Gaelynn Lea play the violin #r4today https://t.co/nXixd8e8rO",76
77,0.0,0.0,1.0,@BBC,0.0,"👂🏻📖 @SJ_Watson was an audiology specialist before penning the international bestseller Before I Go To Sleep. 
5 peo… https://t.co/RqDVSZ8Ntl",77
78,0.4588,0.0,0.88,@BBC,0.12,"Mason has used his pocket money to fund random acts of kindness this year in memory of his brother, Ross. ❤️️ Via… https://t.co/asKJ9me2MY",78
79,0.0,0.0,1.0,@BBC,0.0,"Who even needs a calculator anyway? 
Via BBC Minute https://t.co/5LIDp3hZXh",79
80,0.0,0.0,1.0,@BBC,0.0,"📚 From essays about Cuba’s transformation to a history of US nuclear policy, here are 10 books to read in December.… https://t.co/XvF7FFPWF8",80
81,-0.2732,0.157,0.737,@BBC,0.106,"There's around 500k pieces of space junk orbiting Earth, posing a huge threat to astronauts. The RemoveDebris space… https://t.co/MLFaaVAxta",81
82,0.0,0.0,1.0,@BBC,0.0,"As @Lord_Sugar's search for his next business partner continues, take an in-depth look at the remaining candidates.… https://t.co/jkK7AHquzr",82
83,0.1027,0.104,0.769,@BBC,0.126,"'For me, drag is a device to entertain people and make them laugh.' 💋💅
Via @BBCTheSocial. https://t.co/urnzq6NJJA",83
84,0.5719,0.0,0.844,@BBC,0.156,"You might think the hipster beard is a new trend, but the mid-19th century was a true golden age for massive facial… https://t.co/dsJojiqMgH",84
85,0.0,0.0,1.0,@BBC,0.0,"RT @bbcmusic: WHAT A LINE UP 😍
Tonight's #SLFN guest host: the incredible @DuaLipa 🌹
Performances from @KasabianHQ, @RagNBoneManUK, @RAYE a…",85
86,-0.3182,0.087,0.913,@BBC,0.0,"RT @bbc5live: 10-year-old William thought he'd lost his camera when it was swept out to sea 📷 🌊

But he's been reunited with it after it wa…",86
87,0.6124,0.0,0.833,@BBC,0.167,"RT @BBCSpringwatch: We've some gorgeous gannets in today's advent calendar. 🎄🎅🏽
They're busy building nests - I wonder if they can make wre…",87
88,0.0,0.0,1.0,@BBC,0.0,RT @BBCOne: ✨ @Chris_Stark reveals the magic behind *that* BBC One Christmas tearjerker. https://t.co/FbLj5SrI6y,88
89,0.6369,0.0,0.811,@BBC,0.189,🗓 🎶 @ClaudiaWinkle and @Claraamfo look back at this year's best music. The Year in Music 2017. 9pm on @BBCTwo.… https://t.co/fqm4A0Wv3C,89
90,-0.8271,0.268,0.732,@BBC,0.0,"🎬 From the new Star Wars to the story of the worst movie ever made, here are 9 movies to watch in December. 👉… https://t.co/Zihk2ad0dz",90
91,0.0,0.0,1.0,@BBC,0.0,"Sharks, bear markets, narwhals &amp; yak shaving - do you know the 
business beast ABC?
Full guide here 👉… https://t.co/kgxpnSZf4A",91
92,0.4767,0.0,0.814,@BBC,0.186,"Remember how we actually did alright at Eurovision this year? 🎤🎶

10 surprising music moments from 2017 you've alre… https://t.co/hS72dmiWNE",92
93,0.4588,0.0,0.824,@BBC,0.176,👦🤔👧 Are you smarter than an 11-year-old? Take this quiz &amp; find out... https://t.co/JNbY5UN9QB https://t.co/nZWffIrmGv,93
94,0.5106,0.06,0.792,@BBC,0.147,"RT @bbcmusic: 💖@Harry_Styles is nominated for BBC Music Artist Of The Year, and we STILL have goosebumps from his beautiful 'Girl Crush' pe…",94
95,0.0,0.0,1.0,@BBC,0.0,"'If you don't get the angle right, it's not going to work.'
Can you #DoTheHuw? 😂 https://t.co/hYxrN6C790",95
96,0.0,0.0,1.0,@BBC,0.0,Stewards working at Prince Harry &amp; Meghan Markle's Royal Wedding have been told to watch Suits before the big day.… https://t.co/ErN62dBvF6,96
97,0.6808,0.0,0.641,@BBC,0.359,"The perfect warm drink for cold December evenings. ☕️😋 
Via @BBCFood. https://t.co/clDVQqgSOj",97
98,0.4939,0.0,0.868,@BBC,0.132,"RT @bbcworldservice: ""Falls reduced by 60%."" Why some care home residents are 'pimping' their walking frames. Follow the link for more from…",98
99,0.0,0.0,1.0,@BBC,0.0,Professional clowns must choose a unique facial makeup design – and they have an unusual way of ‘protecting’ it fro… https://t.co/zmkytd7z8v,99
100,-0.2263,0.083,0.917,@CBS,0.0,"Due to NFL overrun, CBS is delayed 8 mins in the following ET &amp; CT markets: Hunstville, AL, Bowling Green, KY, MS,… https://t.co/gbwhgooEQd",0
101,-0.2263,0.087,0.913,@CBS,0.0,"Due to NFL overrun CBS is delayed 7 mins in the following ET &amp; CT markets Tampa, Chicago, Maryland, Michigan, Wash… https://t.co/driVgCiX7D",1
102,0.0772,0.0,0.936,@CBS,0.064,"RT @NoActivityCBS: If you want the intel, you get the tickles. 😂 Stream the first 5 episodes of #NoActivity now: https://t.co/Wzq9bVOhGN ht…",2
103,0.0,0.0,1.0,@CBS,0.0,RT @startrekcbs: .@albinokid and @wcruz73 are breaking new ground in #StarTrekDiscovery. 🏳️‍🌈 Stream chapter 1 on CBS All Access: https://t…,3
104,0.5754,0.07,0.742,@CBS,0.189,Don’t miss America’s Game! Stream the Army-Navy game LIVE today at 3PM ET with a FREE trial of #CBSAllAccess:… https://t.co/38udnQj2vs,4
105,0.6476,0.0,0.791,@CBS,0.209,"There's still time before we have to say so long! Catch up with Carol Burnett, her original castmates and special g… https://t.co/WTiK8dzaXO",5
106,0.8126,0.0,0.697,@CBS,0.303,RT @bigbangtheory: It's the biggest best friend breakup of the year... 😱 Stream the latest full episode of #BigBangTheory: https://t.co/iIw…,6
107,0.7777,0.0,0.746,@CBS,0.254,"RT @AmazingRaceCBS: Presenting... the 30th cast of the #AmazingRace! Made up of champions and winners, this is quite literally the most com…",7
108,0.5423,0.0,0.863,@CBS,0.137,Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb,8
109,0.3182,0.0,0.874,@CBS,0.126,"A new Twilight Zone original series is coming exclusively to CBS All Access in association with @JordanPeele,… https://t.co/fVYnhUASee",9
110,0.1511,0.0,0.91,@CBS,0.09,RT @SuperiorDonuts: You'll want to check this box! ☑︎ Stream the latest episode of #SuperiorDonuts: https://t.co/h1xhKLCAPl https://t.co/d8…,10
111,0.4199,0.0,0.883,@CBS,0.117,RT @YoungSheldon: Wondering what it's like behind the scenes of #YoungSheldon? Let star @OfficialRaeganR take you on a tour of the set! htt…,11
112,0.5106,0.0,0.837,@CBS,0.163,The Kennedy Center Honors recognizes the lifetime contributions of all types of performance artists. Watch the 40th… https://t.co/azF3rW2ptw,12
113,0.0,0.0,1.0,@CBS,0.0,RT @YoungSheldon: There's something @elonmusk never told you about @spacex's Falcon 9. 📓  #YoungSheldon https://t.co/bu3W0IC8zN,13
114,0.3612,0.0,0.894,@CBS,0.106,"Just like old times, Carol Burnett bumps up the lights and answers questions from the audience. Catch up on The Car… https://t.co/9r7WI8d1tZ",14
115,0.9217,0.0,0.496,@CBS,0.504,Star comedian @JimCarrey gets emotional when he expresses his heartfelt thanks to Carol Burnett for her positive in… https://t.co/5QCejBcg5T,15
116,0.5213,0.0,0.813,@CBS,0.187,Take a trip down memory lane with Carol Burnett for a special tribute you'll never forget. Catch up on The Carol Bu… https://t.co/XBINDav614,16
117,-0.5655,0.177,0.823,@CBS,0.0,"RT @JLawlorNY: So, ok...maybe I'm crying at at the #CarolBurnett50 finale with everyone singing her theme song! #ImSoGladWeHadThisTimeToget…",17
118,0.9466,0.0,0.328,@CBS,0.672,RT @junerenee: A true classic and favorite!! Love #CarolBurnett50 laughed and cried...just like before!,18
119,0.5994,0.0,0.719,@CBS,0.281,RT if you’ve loved reliving these classic moments during #CarolBurnett50 https://t.co/I1tIWeSlsQ,19
120,0.7906,0.0,0.731,@CBS,0.269,RT @Mom101: I can't tell you the joy of seeing my 10yo laughing at this. Especially the Tim Conway dentist sketch.  #CarolBurnett50,20
121,0.8689,0.0,0.671,@CBS,0.329,"RT @AdeleAndMike: Thank You for bringing back such wonderful memories, the entire family would gather to watch, and we would then laugh abo…",21
122,0.8016,0.0,0.736,@CBS,0.264,RT @tessab13: The Siamese Elephants skit on the Carol Burnett show is such a classic and possibly my favorite. Loved Tim Conway! #CarolBurn…,22
123,0.5719,0.0,0.844,@CBS,0.156,RT @inezpanebianco: @OfficialBPeters and Carol Burnett reminiscing back on the carol burnett show is my idea of a perfect night ❤️ #CarolBu…,23
124,0.0,0.0,1.0,@CBS,0.0,"What a performance by @OfficialBPeters, @KChenoweth, Carol Burnett, Steve Lawrence, and @StephenAtHome!… https://t.co/DqewQ6ASQp",24
125,0.25,0.0,0.867,@CBS,0.133,RT @jonjeffryes: Bob Mackie created 65 costumes a week for The Carol Burnett Show #CarolBurnett50,25
126,0.0,0.0,1.0,@CBS,0.0,RT @bmayberry92: Steve Carell with that video submission though! 😂 #carolburnett50,26
127,0.0,0.0,1.0,@CBS,0.0,She’s still got it! #CarolBurnett50 https://t.co/zTxZc5zrqP,27
128,0.8591,0.0,0.513,@CBS,0.487,RT @BobMackie: Our friend Tim Conway never failed to make us laugh #CarolBurnett50,28
129,-0.2263,0.076,0.924,@CBS,0.0,RT @bpeters99: #CarolBurnett50  Am I the Only one with tears in my eyes while I give a standing ovation from my couch? One of the most bril…,29
130,0.5574,0.0,0.806,@CBS,0.194,RT @SuperJen1117: This show is awesome...Some of the funniest women together on one stage 🙌🏼❤️ #CarolBurnett50,30
131,0.3612,0.0,0.762,@CBS,0.238,These two are just like sisters ❤️ #CarolBurnett50 https://t.co/EPpyf2kOuV,31
132,0.4588,0.0,0.864,@CBS,0.136,RT @chattie: Watching #carolburnett50  can’t quit smiling. Brings me memories of watching on Saturday nights with my mom and grandma.,32
133,0.807,0.0,0.644,@CBS,0.356,RT @DanRocks98: Settling in for the #CarolBurnett50 special. This lady is comedy gold! A true staple of my childhood.,33
134,0.4574,0.0,0.87,@CBS,0.13,She’s back! Tune in now to see The Carol Burnett 50th Anniversary Special on CBS and CBS All Access. #CarolBurnett50 https://t.co/HhvRmT5AR0,34
135,-0.2263,0.095,0.905,@CBS,0.0,"Due to #NFL football overrun #CBS is delayed 11 min in: 
Atlanta 
Baltimore 
Columbus
Cleveland 
Toledo
Detroit
Fli… https://t.co/oCkn11yJOR",35
136,0.8271,0.0,0.648,@CBS,0.352,Relive the laughter and the magic in this star-studded tribute to everyone's favorite classic comedy show. Don't mi… https://t.co/WV6jxBnRAt,36
137,0.7783,0.0,0.714,@CBS,0.286,"Tonight, spend an evening together with Carol Burnett and celebrity friends as they celebrate The Carol Burnett 50t… https://t.co/uH2uM9cJFS",37
138,0.8658,0.0,0.614,@CBS,0.386,Carol Burnett credits the close-knit cast for the success of her show. Join her and original cast members Vicki Law… https://t.co/1rlNPUS5EJ,38
139,0.8516,0.0,0.647,@CBS,0.353,Carol Burnett and friends reflect on how the show became an instant classic that's still celebrated today! Join the… https://t.co/lZgVz9XSyM,39
140,0.7897,0.0,0.72,@CBS,0.28,"Tonight, celebrate with Carol Burnett, Vicki Lawrence, Lyle Waggoner &amp; more special guests! Find out how to watch T… https://t.co/Rhm6RJ34u2",40
141,0.6166,0.0,0.825,@CBS,0.175,Stream Indiana at Michigan LIVE today at 12:30PM ET with a 1-month FREE trial of #CBSAllAccess. Just use promo code… https://t.co/xRem3zSyEQ,41
142,0.1867,0.0,0.902,@CBS,0.098,Kristin Chenoweth (@KChenoweth) explains why audiences still crave Carol Burnett! Don't miss The Carol Burnett 50th… https://t.co/kM92NTtTfs,42
143,0.6996,0.0,0.821,@CBS,0.179,"Catch up on this amazing lineup of music specials! Here's how to watch Bruno Mars: 24K Magic Live at the Apollo, Th… https://t.co/Jit2CzZJCY",43
144,-0.3595,0.128,0.872,@CBS,0.0,Missed Bruno Mars: 24K Magic Live at the Apollo? Keep up! Watch the full show: https://t.co/itXpGB5gRm #BrunoMars https://t.co/8yyQlC1LML,44
145,0.3612,0.0,0.884,@CBS,0.116,Reminisce with these classic photos and get ready to relive the magic when The Carol Burnett 50th Anniversary Speci… https://t.co/yJQEzCjoSA,45
146,0.4199,0.0,0.866,@CBS,0.134,"RT @LivinBiblically: In the beginning, there was Chip. And lo! Chip had a revelation. #LivingBiblically is a new comedy premiering Monday,…",46
147,0.7707,0.0,0.718,@CBS,0.282,"Discover these pro football stars' off-the-field talents in MVP: Most Valuable Performer, airing Jan 25 on CBS! Fin… https://t.co/g8jSRW8mQf",47
148,0.0,0.0,1.0,@CBS,0.0,"Find out when #BigBrother celebrity edition, #AmazingRace, #Survivor, new drama @instinctcbs and new comedy… https://t.co/4Psl74zcCB",48
149,0.8221,0.0,0.691,@CBS,0.309,Actress @BethBehrs explains why Carol Burnett is her hero! Celebrate her lasting influence with The Carol Burnett 5… https://t.co/Lnt5P9jEu0,49
150,0.0,0.0,1.0,@CBS,0.0,"RT @instinctcbs: New drama #Instinct, starring @Alancumming, premieres Sunday, March 11 on @CBS! https://t.co/aaL0JXpqav",50
151,0.0,0.0,1.0,@CBS,0.0,"RT @AmazingRaceCBS: On your marks... #AmazingRace returns Wednesday, January 3! https://t.co/XMSJSUymUZ",51
152,0.0,0.0,1.0,@CBS,0.0,RT @CBSBigBrother: Mark. Your. Calendars. The celebrity edition of #BigBrother premieres February 7! https://t.co/nP3Do6jTwM,52
153,0.6893,0.0,0.749,@CBS,0.251,The Angels await you... catch up on the world's most celebrated fashion show now! Watch the full 2017… https://t.co/xfYDbEzpfX,53
154,0.1901,0.0,0.907,@CBS,0.093,"Comedy stars Amy Poehler, Bill Hader, @MayaRudolph &amp; @TraceeEllisRoss give the legendary Tarzan yell a try- but no… https://t.co/lrrHE2f9Nv",54
155,0.296,0.0,0.872,@CBS,0.128,Action-adventure series 'Blood &amp; Treasure' has been picked up for broadcast in Summer 2019: https://t.co/gAjqbF5bYh https://t.co/3cTBH9AKFI,55
156,0.0,0.0,1.0,@CBS,0.0,Carol Burnett visited @TheTalkCBS to discuss how she got her start in show business! Watch The Carol Burnett 50th A… https://t.co/EyqmFWZHEC,56
157,0.6115,0.0,0.773,@CBS,0.227,"The world's most beloved fairy tales are reimagined as a dark &amp; twisted psychological thriller in ""Tell Me A Story,… https://t.co/CytIswrRj1",57
158,0.0,0.0,1.0,@CBS,0.0,RT @RansomCBS: #Ransom star @luke_j_roberts on set in Budapest for Season 2! https://t.co/rgC5ylqSMp,58
